iter	Passed	Remaining
402	12246	18142
403	12277	18111
404	12304	18077
405	12338	18051
406	12372	18026
407	12403	17997
408	12430	17961
409	12459	17929
410	12491	17901
411	12525	17875
412	12558	17848
413	12589	17820
414	12616	17785
415	12643	17749
416	12670	17714
417	12698	17681
418	12729	17650
419	12762	17623
420	12796	17598
421	12832	17575
422	12865	17548
423	12902	17527
424	12933	17498
425	12967	17473
426	12999	17443
427	13031	17415
428	13061	17384
429	13091	17353
430	13127	17330
431	13162	17306
432	13196	17281
433	13228	17251
434	13261	17224
435	13295	17199
436	13325	17168
437	13355	17136
438	13385	17105
439	13415	17074
440	13442	17039
441	13470	17005
442	13499	16973
443	13529	16942
444	13559	16911
445	13591	16882
446	13618	16848
447	13650	16819
448	13681	16789
449	13710	16756
450	13738	16723
451	13765	16688
452	13793	16655
453	13825	16627
454	13854	16594
455	13882	16561
456	13910	16528
457	13938	16494
458	13966	16461
459	13996	16430
460	14022	16395
461	14052	16363
462	14082	16333
463	14113	16303
464	14139	16267
465	14164	16231
466	14193	16199
467	14224	16169
468	14256	16141
469	14286	16110
470	14314	16077
471	14348	16050
472	14377	16018
473	14409	15990
474	14445	15966
475	14480	15940
476	14510	15910
477	14538	15877
478	14567	15845
479	14596	15812
480	14626	15781
481	14657	15751
482	14686	15720
483	14715	15688
484	14745	15657
485	14776	15627
486	14806	15597
487	14836	15566
488	14865	15534
489	14898	15506
490	14931	15478
491	14959	15445
492	14988	15413
493	15016	15381
494	15046	15350
495	15074	15317
496	15103	15286
497	15136	15257
498	15165	15226
499	15196	15196
500	15230	15169
501	15258	15136
502	15292	15109
503	15322	15079
504	15349	15045
505	15379	15014
506	15408	14983
507	15437	14951
508	15465	14918
509	15493	14885
510	15521	14852
511	15552	14823
512	15584	14794
513	15612	14761
514	15643	14732
515	15671	14699
516	15699	14667
517	15725	14632
518	15753	14599
519	15781	14567
520	15807	14533
521	15835	14500
522	15859	14464
523	15885	14430
524	15913	14398
525	15938	14363
526	15962	14327
527	15988	14292
528	16012	14256
529	16036	14220
530	16065	14189
531	16094	14158
532	16123	14127
533	16155	14097
534	16182	14065
535	16210	14032
536	16242	14003
537	16269	13971
538	16297	13939
539	16324	13906
540	16351	13873
541	16382	13843
542	16411	13812
543	16438	13778
544	16462	13743
545	16491	13712
546	16519	13681
547	16548	13649
548	16576	13617
549	16605	13585
550	16631	13552
551	16658	13519
552	16682	13485
553	16709	13452
554	16735	13418
555	16760	13384
556	16788	13352
557	16815	13320
558	16844	13288
559	16872	13256
560	16899	13224
561	16924	13190
562	16950	13156
563	16979	13125
564	17007	13094
565	17034	13061
566	17063	13030
567	17094	13001
568	17122	12969
569	17152	12939
570	17185	12911
571	17213	12879
572	17240	12847
573	17268	12815
574	17293	12781
575	17322	12751
576	17349	12718
577	17378	12687
578	17405	12655
579	17433	12624
580	17461	12593
581	17487	12559
582	17514	12527
583	17541	12495
584	17571	12465
585	17602	12435
586	17630	12404
587	17654	12370
588	17680	12337
589	17709	12306
590	17733	12272
591	17760	12240
592	17789	12209
593	17816	12177
594	17843	12145
595	17868	12112
596	17897	12081
597	17923	12049
598	17951	12017
599	17976	11984
600	18001	11951
601	18027	11918
602	18054	11886
603	18081	11854
604	18106	11821
605	18132	11788
606	18159	11757
607	18186	11725
608	18218	11696
609	18246	11665
610	18276	11635
611	18304	11604
612	18331	11573
613	18360	11542
614	18385	11509
615	18415	11479
616	18445	11450
617	18471	11417
618	18499	11386
619	18528	11356
620	18552	11322
621	18579	11290
622	18605	11258
623	18633	11227
624	18665	11199
625	18693	11168
626	18720	11136
627	18750	11106
628	18775	11074
629	18804	11043
630	18832	11013
631	18859	10981
632	18885	10949
633	18912	10917
634	18938	10885
635	18961	10852
636	18986	10819
637	19015	10789
638	19043	10758
639	19071	10727
640	19101	10697
641	19130	10667
642	19158	10637
643	19191	10609
644	19220	10578
645	19249	10548
646	19277	10517
647	19304	10486
648	19335	10457
649	19362	10425
650	19391	10395
651	19416	10363
652	19443	10332
653	19471	10301
654	19500	10271
655	19541	10247
656	19569	10216
657	19605	10190
658	19638	10161
659	19672	10134
660	19704	10105
661	19741	10079
662	19771	10050
663	19806	10022
664	19837	9993
665	19866	9962
666	19903	9936
667	19931	9906
668	19962	9876
669	19998	9849
670	20027	9819
671	20056	9789
672	20090	9761
673	20126	9734
674	20156	9704
675	20191	9677
676	20224	9649
677	20259	9621
678	20296	9595
679	20332	9568
680	20372	9542
681	20411	9517
682	20452	9492
683	20487	9465
684	20519	9436
685	20553	9407
686	20584	9378
687	20620	9351
688	20649	9320
689	20684	9293
690	20716	9264
691	20746	9233
692	20774	9203
693	20805	9173
694	20834	9143
695	20861	9112
696	20890	9081
697	20916	9049
698	20943	9018
699	20970	8987
700	21001	8957
701	21025	8925
702	21051	8893
703	21078	8862
704	21101	8829
705	21130	8799
706	21160	8769
707	21190	8739
708	21219	8709
709	21246	8678
710	21274	8647
711	21305	8618
712	21335	8588
713	21363	8557
714	21391	8526
715	21421	8496
716	21446	8465
717	21476	8434
718	21504	8404
719	21533	8374
720	21562	8343
721	21593	8314
722	21622	8284
723	21651	8253
724	21682	8224
725	21707	8192
726	21733	8161
727	21768	8133
728	21802	8104
729	21838	8077
730	21873	8049
731	21909	8021
732	21944	7993
733	21982	7966
734	22018	7938
735	22052	7910
736	22084	7880
737	22113	7850
738	22146	7821
739	22179	7792
740	22212	7763
741	22245	7734
742	22277	7705
743	22307	7675
744	22336	7645
745	22366	7615
746	22394	7584
747	22419	7553
748	22444	7521
749	22469	7489
750	22493	7458
751	22519	7426
752	22546	7395
753	22571	7364
754	22599	7333
755	22625	7302
756	22651	7271
757	22677	7240
758	22706	7209
759	22733	7178
760	22762	7148
761	22791	7118
762	22819	7088
763	22844	7056
764	22873	7026
765	22900	6995
766	22929	6965
767	22955	6934
768	22983	6904
769	23011	6873
770	23038	6842
771	23064	6811
772	23095	6782
773	23124	6752
774	23153	6722
775	23181	6691
776	23209	6661
777	23238	6631
778	23274	6603
779	23315	6576
780	23357	6549
781	23386	6519
782	23415	6489
783	23443	6459
784	23469	6427
785	23497	6397
786	23529	6368
787	23562	6339
788	23586	6307
789	23614	6277
790	23641	6246
791	23669	6216
792	23697	6185
793	23726	6155
794	23751	6124
795	23781	6094
796	23810	6064
797	23835	6033
798	23862	6002
799	23892	5973
800	23919	5942
801	23948	5912
802	23978	5882
803	24009	5853
804	24036	5822
805	24066	5792
806	24097	5763
807	24126	5733
808	24156	5703
809	24180	5671
810	24207	5641
811	24230	5610
812	24255	5579
813	24283	5548
814	24310	5518
815	24339	5488
816	24369	5458
817	24397	5428
818	24427	5398
819	24458	5368
820	24487	5338
821	24519	5309
822	24546	5279
823	24573	5248
824	24602	5218
825	24627	5187
826	24653	5157
827	24682	5127
828	24708	5096
829	24735	5066
830	24763	5036
831	24787	5005
832	24816	4975
833	24844	4945
834	24872	4914
835	24900	4884
836	24929	4854
837	24957	4824
