iter	RMSE
349	38.73506909
350	38.73472725
351	38.73429217
352	38.73381288
353	38.7334518
354	38.73303375
355	38.73256218
356	38.73213776
357	38.73164172
358	38.73117436
359	38.73071554
360	38.73035052
361	38.72993732
362	38.72942077
363	38.72882247
364	38.72849093
365	38.72803437
366	38.72745913
367	38.72690266
368	38.72644596
369	38.72591691
370	38.72537538
371	38.7248064
372	38.72438076
373	38.72390018
374	38.72353711
375	38.72324334
376	38.72285046
377	38.72244487
378	38.72198956
379	38.72151073
380	38.72095043
381	38.72052476
382	38.72017476
383	38.71965687
384	38.71919207
385	38.71869497
386	38.71827054
387	38.7178507
388	38.7174468
389	38.71696131
390	38.71642453
391	38.71593565
392	38.71554284
393	38.71521517
394	38.71473191
395	38.71428127
396	38.71384104
397	38.71337897
398	38.7128192
399	38.71247945
400	38.71202142
401	38.71155545
402	38.71120167
403	38.71082948
404	38.71041937
405	38.7100534
406	38.7097001
407	38.7093223
408	38.70885624
409	38.70843193
410	38.7079198
411	38.70751714
412	38.70708993
413	38.70665454
414	38.70623444
415	38.70586173
416	38.7054477
417	38.70498424
418	38.70449916
419	38.70414371
420	38.70370928
421	38.70325553
422	38.70284355
423	38.70251493
424	38.70214774
425	38.70180293
426	38.70138602
427	38.70094886
428	38.70055226
429	38.70008768
430	38.69970073
431	38.69945108
432	38.69896611
433	38.69854294
434	38.69807015
435	38.69782106
436	38.69753568
437	38.69717879
438	38.69680036
439	38.69634808
440	38.69594499
441	38.69561804
442	38.695117
443	38.69462615
444	38.69428838
445	38.69399109
446	38.69355134
447	38.69323754
448	38.6927943
449	38.69244523
450	38.69200903
451	38.69162015
452	38.69114032
453	38.69072777
454	38.69034789
455	38.69003911
456	38.68968104
457	38.68926958
458	38.68881913
459	38.68846837
460	38.68808036
461	38.6876677
462	38.68721707
463	38.68683665
464	38.68645884
465	38.68604643
466	38.6856861
467	38.68524558
468	38.68485328
469	38.68453732
470	38.68419321
471	38.68386742
472	38.6834852
473	38.68308388
474	38.68271655
475	38.68228207
476	38.68176598
477	38.6812872
478	38.68090645
479	38.68054591
480	38.68006359
481	38.6796625
482	38.67924702
483	38.67893329
484	38.67848745
485	38.67810051
486	38.67779042
487	38.67733897
488	38.67698838
489	38.67668152
490	38.67636845
491	38.6759458
492	38.67558021
493	38.67518899
494	38.6748059
495	38.67437896
496	38.67406548
497	38.67368815
498	38.6732974
499	38.67296718
500	38.67261637
501	38.6722561
502	38.67177406
503	38.67137115
504	38.6708259
505	38.67043541
506	38.66998364
507	38.66965257
508	38.66910796
509	38.66868161
510	38.66822604
511	38.66784314
512	38.66751402
513	38.66717254
514	38.66675092
515	38.66639098
516	38.66598819
517	38.66558085
518	38.66527202
519	38.66489297
520	38.66452956
521	38.66411666
522	38.6637743
523	38.66336672
524	38.66300584
525	38.66264826
526	38.66225322
527	38.66185955
528	38.66156166
529	38.66133167
530	38.66097607
531	38.6606004
532	38.66024329
533	38.65983329
534	38.65938453
535	38.65904057
536	38.65860285
537	38.65828516
538	38.65793605
539	38.65751442
540	38.65709912
541	38.65671637
542	38.65638937
543	38.65601719
544	38.65568619
545	38.65528844
546	38.65492461
547	38.65454626
548	38.65418023
549	38.65375019
550	38.65338294
551	38.6530989
552	38.65275302
553	38.65235935
554	38.65195789
555	38.65154276
556	38.65116095
557	38.6508186
558	38.65047226
559	38.65014533
560	38.6497618
561	38.64947236
562	38.6490857
563	38.64863879
564	38.64830457
565	38.64803056
566	38.64772635
567	38.64735586
568	38.64696608
569	38.64667864
570	38.64630683
571	38.64593077
572	38.64542837
573	38.64506271
574	38.64480919
575	38.64443544
576	38.64405252
577	38.64370711
578	38.6433311
579	38.64308017
580	38.64284958
581	38.64245406
582	38.64209049
583	38.64163895
584	38.64120839
585	38.64088056
586	38.64056077
587	38.64021203
588	38.63971457
589	38.63925063
590	38.63887238
591	38.63860231
592	38.6382915
593	38.63788057
594	38.63759102
595	38.63722175
596	38.63701772
597	38.63671865
598	38.6363634
599	38.63605582
600	38.63563978
601	38.63534229
602	38.63503302
603	38.63471864
604	38.6343458
605	38.63406819
606	38.63374101
607	38.63339825
608	38.63312954
609	38.63285795
610	38.63246434
611	38.63211224
612	38.63180489
613	38.63153453
614	38.63122119
615	38.63091355
616	38.63053073
617	38.6301999
618	38.62988981
619	38.62956104
620	38.62923869
621	38.62880609
622	38.62837582
623	38.62795165
624	38.62756533
625	38.62733921
626	38.62687007
627	38.62654416
628	38.62614773
629	38.62580608
630	38.62539245
631	38.62500172
632	38.62457634
633	38.62425426
634	38.62395998
635	38.6235942
636	38.62327153
637	38.62296614
638	38.62264955
639	38.62236953
640	38.62203842
641	38.62171371
642	38.62142508
