iter	Passed	Remaining
403	11109	16389
404	11138	16364
405	11162	16332
406	11192	16306
407	11221	16281
408	11248	16253
409	11274	16224
410	11303	16199
411	11331	16172
412	11359	16145
413	11385	16116
414	11410	16085
415	11439	16059
416	11471	16037
417	11497	16007
418	11522	15978
419	11547	15947
420	11576	15920
421	11603	15892
422	11629	15863
423	11658	15837
424	11683	15806
425	11711	15780
426	11739	15753
427	11766	15725
428	11795	15699
429	11826	15677
430	11851	15645
431	11882	15623
432	11911	15597
433	11939	15570
434	11967	15543
435	11994	15515
436	12021	15488
437	12050	15461
438	12079	15435
439	12107	15409
440	12132	15378
441	12160	15351
442	12184	15319
443	12208	15288
444	12236	15260
445	12263	15233
446	12290	15205
447	12318	15178
448	12345	15150
449	12372	15122
450	12398	15092
451	12424	15063
452	12449	15032
453	12477	15005
454	12504	14978
455	12530	14949
456	12559	14922
457	12584	14892
458	12691	14959
459	12717	14929
460	12743	14900
461	12770	14870
462	12798	14843
463	12824	14814
464	12852	14786
465	12879	14759
466	12908	14732
467	12933	14702
468	12958	14671
469	12985	14643
470	13012	14614
471	13038	14585
472	13066	14558
473	13091	14528
474	13120	14501
475	13146	14472
476	13176	14446
477	13202	14418
478	13229	14389
479	13254	14359
480	13282	14332
481	13307	14301
482	13333	14272
483	13359	14242
484	13384	14212
485	13409	14182
486	13439	14156
487	13464	14127
488	13490	14097
489	13514	14066
490	13542	14038
491	13572	14013
492	13602	13988
493	13627	13958
494	13654	13930
495	13682	13902
496	13706	13871
497	13735	13845
498	13763	13818
499	13789	13789
500	13817	13762
501	13842	13732
502	13869	13704
503	13893	13673
504	13921	13646
505	13949	13618
506	13974	13588
507	14000	13559
508	14027	13531
509	14052	13501
510	14082	13476
511	14107	13445
512	14136	13419
513	14164	13393
514	14190	13364
515	14216	13335
516	14243	13306
517	14269	13277
518	14299	13252
519	14324	13222
520	14351	13194
521	14377	13165
522	14405	13138
523	14431	13109
524	14461	13083
525	14486	13054
526	14515	13027
527	14542	12999
528	14566	12969
529	14594	12941
530	14618	12911
531	14644	12882
532	14673	12856
533	14703	12831
534	14733	12806
535	14766	12782
536	14792	12754
537	14818	12725
538	14845	12696
539	14874	12670
540	14899	12640
541	14929	12615
542	14953	12585
543	14978	12555
544	15003	12525
545	15030	12497
546	15054	12467
547	15082	12440
548	15108	12411
549	15136	12384
550	15163	12356
551	15192	12330
552	15217	12300
553	15247	12274
554	15273	12246
555	15298	12217
556	15326	12189
557	15355	12163
558	15382	12135
559	15409	12107
560	15438	12080
561	15467	12054
562	15493	12026
563	15521	11998
564	15546	11969
565	15574	11942
566	15601	11914
567	15628	11886
568	15656	11858
569	15681	11829
570	15709	11802
571	15735	11773
572	15762	11746
573	15791	11720
574	15821	11694
575	15847	11665
576	15874	11637
577	15899	11608
578	15929	11582
579	15961	11558
580	15993	11534
581	16022	11507
582	16051	11481
583	16077	11452
584	16109	11427
585	16140	11402
586	16168	11375
587	16195	11347
588	16224	11321
589	16260	11299
590	16291	11274
591	16316	11245
592	16343	11216
593	16370	11189
594	16395	11160
595	16424	11133
596	16455	11108
597	16480	11078
598	16508	11051
599	16531	11021
600	16554	10990
601	16579	10960
602	16607	10933
603	16637	10908
604	16664	10880
605	16691	10851
606	16717	10823
607	16741	10793
608	16767	10765
609	16795	10737
610	16823	10711
611	16850	10682
612	16878	10655
613	16905	10628
614	16935	10601
615	16958	10571
616	16984	10543
617	17012	10515
618	17039	10488
619	17067	10460
620	17096	10433
621	17126	10408
622	17153	10380
623	17179	10351
624	17203	10322
625	17230	10294
626	17256	10265
627	17282	10237
628	17307	10208
629	17333	10179
630	17358	10151
631	17387	10124
632	17415	10096
633	17441	10068
634	17471	10042
635	17499	10015
636	17524	9986
637	17551	9958
638	17579	9931
639	17603	9902
640	17632	9875
641	17661	9848
642	17687	9820
643	17716	9793
644	17744	9766
645	17773	9739
646	17805	9714
647	17834	9687
648	17863	9661
649	17892	9634
650	17923	9608
651	17953	9582
652	17984	9556
653	18015	9531
654	18046	9505
655	18077	9479
656	18106	9452
657	18136	9426
658	18166	9400
659	18200	9375
660	18231	9350
661	18260	9323
662	18289	9296
663	18317	9269
664	18348	9243
665	18376	9215
666	18403	9188
667	18429	9159
668	18459	9133
669	18484	9104
670	18510	9075
671	18537	9047
672	18564	9019
673	18592	8992
674	18616	8963
675	18646	8937
676	18673	8909
677	18700	8881
678	18727	8853
679	18754	8825
680	18783	8798
681	18813	8772
682	18840	8744
683	18866	8716
684	18892	8687
685	18917	8659
686	18950	8633
687	18984	8609
688	19013	8582
689	19041	8554
