iter	RMSE
349	38.73767271
350	38.7371857
351	38.73680774
352	38.73638032
353	38.73587765
354	38.73549773
355	38.73506553
356	38.73466813
357	38.73414487
358	38.73379956
359	38.73333604
360	38.73286358
361	38.73234945
362	38.73186421
363	38.73136105
364	38.73094013
365	38.73048983
366	38.73000096
367	38.72950709
368	38.72902693
369	38.72863746
370	38.72824306
371	38.72776104
372	38.72740763
373	38.72698166
374	38.72655713
375	38.72619655
376	38.72579
377	38.72542465
378	38.72484924
379	38.72430519
380	38.72396666
381	38.72358167
382	38.72314805
383	38.72274531
384	38.7224442
385	38.72198125
386	38.72161023
387	38.7213177
388	38.72087488
389	38.72057215
390	38.72014828
391	38.71969976
392	38.71939908
393	38.71904528
394	38.71852168
395	38.71809924
396	38.71773082
397	38.71743252
398	38.71713054
399	38.71660348
400	38.71623308
401	38.71587534
402	38.71563075
403	38.71522284
404	38.71477879
405	38.71424829
406	38.71370767
407	38.71317488
408	38.71279938
409	38.71237934
410	38.71193039
411	38.7115059
412	38.71112238
413	38.71071486
414	38.71038246
415	38.7099984
416	38.70956578
417	38.70916326
418	38.70872399
419	38.70840299
420	38.70801617
421	38.70768801
422	38.7072659
423	38.70675089
424	38.706455
425	38.70605614
426	38.70561933
427	38.70519673
428	38.70472313
429	38.70435231
430	38.70392131
431	38.70351387
432	38.70319107
433	38.70270608
434	38.70232576
435	38.70186463
436	38.70139889
437	38.70101035
438	38.70056821
439	38.70023758
440	38.69979343
441	38.69931454
442	38.69898042
443	38.69859437
444	38.69816631
445	38.69784019
446	38.69754154
447	38.69711063
448	38.69672914
449	38.69622147
450	38.69583521
451	38.69543067
452	38.69504189
453	38.69474526
454	38.69434456
455	38.69389627
456	38.69346285
457	38.69303766
458	38.69270007
459	38.69223803
460	38.69182655
461	38.69145016
462	38.69112277
463	38.690663
464	38.69029377
465	38.68993704
466	38.68953937
467	38.68928328
468	38.68887418
469	38.68839089
470	38.68805828
471	38.68765431
472	38.68718881
473	38.6869764
474	38.68675017
475	38.68628264
476	38.68604115
477	38.68571437
478	38.68543339
479	38.68513819
480	38.68474399
481	38.68452544
482	38.68421291
483	38.6838428
484	38.68339969
485	38.68306266
486	38.68265068
487	38.68220936
488	38.68191883
489	38.68150836
490	38.68111526
491	38.68074723
492	38.68039794
493	38.68002344
494	38.67973785
495	38.67937387
496	38.67900077
497	38.6787013
498	38.67828726
499	38.67796881
500	38.67763297
501	38.6772778
502	38.67697735
503	38.67657752
504	38.67621188
